Index,TimeThreshold,VolThreshold,sp,sn,tn,fp,tp,fn
1,1,0.1,0.0757121439,0.9655052265,606,7398,2771,99
2,1,0.2,0.0597201399,0.9808362369,478,7526,2815,55
3,1,0.3,0.0353573213,0.9919860627,283,7721,2847,23
4,1,0.4,0.0211144428,0.9968641115,169,7835,2861,9
5,1,0.5,0.0109945027,0.9986062718,88,7916,2866,4
6,1,0.6,0.0072463768,0.9989547038,58,7946,2867,3
7,1,0.7,0.0049975012,0.9996515679,40,7964,2869,1
8,1,0.8,0.0029985007,0.9996515679,24,7980,2869,1
9,1,0.9,0.001874063,1,15,7989,2870,0
10,1,1,0.0014992504,1,12,7992,2870,0
11,2,0.1,0.352073963,0.7975609756,2818,5186,2289,581
12,2,0.2,0.2591204398,0.8898954704,2074,5930,2554,316
13,2,0.3,0.1591704148,0.9463414634,1274,6730,2716,154
14,2,0.4,0.0972013993,0.9763066202,778,7226,2802,68
15,2,0.5,0.0623438281,0.987804878,499,7505,2835,35
16,2,0.6,0.0422288856,0.9933797909,338,7666,2851,19
17,2,0.7,0.0282358821,0.9965156794,226,7778,2860,10
18,2,0.8,0.0201149425,0.9972125436,161,7843,2862,8
19,2,0.9,0.0146176912,0.9979094077,117,7887,2864,6
20,2,1,0.0111194403,0.9979094077,89,7915,2864,6
21,3,0.1,0.5417291354,0.631010453,4336,3668,1811,1059
22,3,0.2,0.4340329835,0.7675958188,3474,4530,2203,667
23,3,0.3,0.2908545727,0.881533101,2328,5676,2530,340
24,3,0.4,0.1869065467,0.9379790941,1496,6508,2692,178
25,3,0.5,0.1224387806,0.968989547,980,7024,2781,89
26,3,0.6,0.0830834583,0.9822299652,665,7339,2819,51
27,3,0.7,0.0605947026,0.987804878,485,7519,2835,35
28,3,0.8,0.0452273863,0.9933797909,362,7642,2851,19
29,3,0.9,0.0347326337,0.9944250871,278,7726,2854,16
30,3,1,0.0266116942,0.9951219512,213,7791,2856,14
31,4,0.1,0.672163918,0.481184669,5380,2624,1381,1489
32,4,0.2,0.5640929535,0.6445993031,4515,3489,1850,1020
33,4,0.3,0.413918041,0.8041811847,3313,4691,2308,562
34,4,0.4,0.2764867566,0.8933797909,2213,5791,2564,306
35,4,0.5,0.1920289855,0.9428571429,1537,6467,2706,164
36,4,0.6,0.1318090955,0.9658536585,1055,6949,2772,98
37,4,0.7,0.097826087,0.9766550523,783,7221,2803,67
38,4,0.8,0.0728385807,0.9839721254,583,7421,2824,46
39,4,0.9,0.0569715142,0.9895470383,456,7548,2840,30
40,4,1,0.0459770115,0.9909407666,368,7636,2844,26
41,5,0.1,0.748125937,0.3731707317,5988,2016,1071,1799
42,5,0.2,0.6560469765,0.543554007,5251,2753,1560,1310
43,5,0.3,0.5004997501,0.7303135889,4006,3998,2096,774
44,5,0.4,0.3555722139,0.843554007,2846,5158,2421,449
45,5,0.5,0.2457521239,0.9128919861,1967,6037,2620,250
46,5,0.6,0.1750374813,0.9477351916,1401,6603,2720,150
47,5,0.7,0.132183908,0.9655052265,1058,6946,2771,99
48,5,0.8,0.0984507746,0.9770034843,788,7216,2804,66
49,5,0.9,0.0760869565,0.9829268293,609,7395,2821,49
50,5,1,0.0619690155,0.9885017422,496,7508,2837,33
51,6,0.1,0.8035982009,0.2888501742,6432,1572,829,2041
52,6,0.2,0.7202648676,0.4445993031,5765,2239,1276,1594
53,6,0.3,0.5779610195,0.6574912892,4626,3378,1887,983
54,6,0.4,0.4242878561,0.787804878,3396,4608,2261,609
55,6,0.5,0.3048475762,0.875261324,2440,5564,2512,358
56,6,0.6,0.2181409295,0.9257839721,1746,6258,2657,213
57,6,0.7,0.1670414793,0.9512195122,1337,6667,2730,140
